"","NbCant","Période","NomCant","Mois","NumBranche","Front_F_Branche","Emplois","Part"
"22",24,"2002Q3","Neuchâtel",2002-09-01,"FB 43 ..... Travaux de construction spécialisés",152,NA,NA
"23",24,"2002Q3","Neuchâtel",2002-09-01,"G 45 ..... Commerce et réparation d'automobiles et de motocycles",90.4,NA,NA
"24",24,"2002Q3","Neuchâtel",2002-09-01,"G 45-47 > Commerce; réparation d'automobiles et de motocycles",563.5,NA,NA
"25",24,"2002Q3","Neuchâtel",2002-09-01,"G 46 ..... Commerce de gros",208,NA,NA
"26",24,"2002Q3","Neuchâtel",2002-09-01,"G 47 ..... Commerce de détail",265.1,NA,NA
"27",24,"2002Q3","Neuchâtel",2002-09-01,"G-U 45-99 - Secteur tertiaire",1584.6,NA,NA
"28",24,"2002Q3","Neuchâtel",2002-09-01,"H 49-53 > Transports et entreposage",91.1,NA,NA
"29",24,"2002Q3","Neuchâtel",2002-09-01,"HA 49 ..... Transports terrestres et transport par conduites",55.1,NA,NA
"30",24,"2002Q3","Neuchâtel",2002-09-01,"HB 50-51 ..... Transports par eau, transports aériens",2.9,NA,NA
"31",24,"2002Q3","Neuchâtel",2002-09-01,"HC 52 ..... Entreposage et services auxiliaires des transports",32,NA,NA
"32",24,"2002Q3","Neuchâtel",2002-09-01,"HD 53 ..... Activités de poste et de courrier",1,NA,NA
"33",24,"2002Q3","Neuchâtel",2002-09-01,"I 55 ..... Hébergement",95.7,NA,NA
"34",24,"2002Q3","Neuchâtel",2002-09-01,"I 55-56 > Hébergement et restauration",277.8,NA,NA
"35",24,"2002Q3","Neuchâtel",2002-09-01,"I 56 ..... Restauration",182.1,NA,NA
"36",24,"2002Q3","Neuchâtel",2002-09-01,"J 58-63 > Information et communication",27.6,NA,NA
"37",24,"2002Q3","Neuchâtel",2002-09-01,"JA 58-60 ..... Édition, audiovisuel et diffusion",3.8,NA,NA
"38",24,"2002Q3","Neuchâtel",2002-09-01,"JB 61 ..... Télécommunications",3.8,NA,NA
"39",24,"2002Q3","Neuchâtel",2002-09-01,"JC 62-63 ..... Activités informatiques et services d’information",20,NA,NA
"40",24,"2002Q3","Neuchâtel",2002-09-01,"K 64 ..... Activités des services financiers",1,NA,NA
"41",24,"2002Q3","Neuchâtel",2002-09-01,"K 64-66 > Activités financières et d'assurance",11.6,NA,NA
"42",24,"2002Q3","Neuchâtel",2002-09-01,"K 65 ..... Assurance",10.6,NA,NA
"43",24,"2002Q3","Neuchâtel",2002-09-01,"K 66 ..... Activités auxiliaires de services financiers et d'assurance",0,NA,NA
"44",24,"2002Q3","Neuchâtel",2002-09-01,"L 68 > Activités immobilières",4.8,NA,NA
"45",24,"2002Q3","Neuchâtel",2002-09-01,"M 69-75 > Activités spécialisées, scientifiques et techniques",48.8,NA,NA
"46",24,"2002Q3","Neuchâtel",2002-09-01,"MA 69 ..... Activités juridiques et comptables",8.6,NA,NA
"47",24,"2002Q3","Neuchâtel",2002-09-01,"MB 70 ..... Activités des sièges sociaux; conseil de gestion",11.5,NA,NA
"48",24,"2002Q3","Neuchâtel",2002-09-01,"MC 71 ..... Activités d'architecture et d'ingénierie",17.2,NA,NA
"49",24,"2002Q3","Neuchâtel",2002-09-01,"MD 72 ..... Recherche-développement scientifique",0,NA,NA
"50",24,"2002Q3","Neuchâtel",2002-09-01,"ME 73-75 ..... Autres activités spécialisées, scientifiques, techniques",11.5,NA,NA
"51",24,"2002Q3","Neuchâtel",2002-09-01,"N 77-82 > Activités de services administratifs et de soutien",90.1,NA,NA
"52",24,"2002Q3","Neuchâtel",2002-09-01,"NA 77; 79-82 ..... Autres activités de services administratifs et de soutien",32.4,NA,NA
"53",24,"2002Q3","Neuchâtel",2002-09-01,"NB 78 ..... Activités liées à l'emploi",57.8,NA,NA
"54",24,"2002Q3","Neuchâtel",2002-09-01,"O 84 > Administration publique",4.9,NA,NA
"55",24,"2002Q3","Neuchâtel",2002-09-01,"P 85 > Enseignement",18.4,NA,NA
"56",24,"2002Q3","Neuchâtel",2002-09-01,"Q 86 ..... Activités pour la santé humaine",233.4,NA,NA
"57",24,"2002Q3","Neuchâtel",2002-09-01,"Q 86-88 > Santé humaine et action sociale",389.4,NA,NA
"58",24,"2002Q3","Neuchâtel",2002-09-01,"Q 87 ..... Hébergement médico-social et social",109.2,NA,NA
"59",24,"2002Q3","Neuchâtel",2002-09-01,"Q 88 ..... Action sociale sans hébergement",46.8,NA,NA
"60",24,"2002Q3","Neuchâtel",2002-09-01,"R 90-93 > Arts, spectacles et activités récréatives",5.7,NA,NA
"61",24,"2002Q3","Neuchâtel",2002-09-01,"S 94-96 > Autres activités de services",51,NA,NA
"62",24,"2002Q3","Neuchâtel",2002-09-01,"T 97-98 > Activités des ménages en tant qu'employeurs et producteurs",0,NA,NA
"63",24,"2002Q3","Neuchâtel",2002-09-01,"U 99 > Activités extra-territoriales",0,NA,NA
"64",24,"2002Q4","Neuchâtel",2002-12-01,"A 01-03 - Secteur primaire",61,NA,NA
"65",24,"2002Q4","Neuchâtel",2002-12-01,"A-U 01-99 Total",4896.9,NA,NA
"66",24,"2002Q4","Neuchâtel",2002-12-01,"B 05-09 > Industries extractives",2.9,NA,NA
"67",24,"2002Q4","Neuchâtel",2002-12-01,"B-F 05-43 - Secteur secondaire",3240.5,NA,NA
"68",24,"2002Q4","Neuchâtel",2002-12-01,"C 10-33 > Industrie manufacturière",3012.2,NA,NA
"69",24,"2002Q4","Neuchâtel",2002-12-01,"CA 10-12 ..... Industries alimentaires et du tabac",42.9,NA,NA
"70",24,"2002Q4","Neuchâtel",2002-12-01,"CB 13-15 ..... Industries du textile et de l’habillement",46.1,NA,NA
"71",24,"2002Q4","Neuchâtel",2002-12-01,"CC 16-18 ..... Industries du bois et du papier ; imprimerie",63.9,NA,NA
"72",24,"2002Q4","Neuchâtel",2002-12-01,"CD,CE 19-20 ..... Cokéfaction, raffinage et industrie chimique",14.7,NA,NA
"73",24,"2002Q4","Neuchâtel",2002-12-01,"CF 21 ..... Industrie pharmaceutique",17.7,NA,NA
"74",24,"2002Q4","Neuchâtel",2002-12-01,"CG 22-23 ..... Industries du caoutchouc et du plastique",30.1,NA,NA
"75",24,"2002Q4","Neuchâtel",2002-12-01,"CH 24-25 ..... Fabrication de produits métalliques",337.6,NA,NA
"76",24,"2002Q4","Neuchâtel",2002-12-01,"CI 26 ..... Fabrication de produits informatiques et électroniques; horlogerie",1359.2,NA,NA
"77",24,"2002Q4","Neuchâtel",2002-12-01,"CJ 27 ..... Fabrication d'équipements électriques",128.1,NA,NA
"78",24,"2002Q4","Neuchâtel",2002-12-01,"CK 28 ..... Fabrication de machines et équipements n.c.a.",281.8,NA,NA
"79",24,"2002Q4","Neuchâtel",2002-12-01,"CL 29-30 ..... Fabrication de matériels de transport",33.1,NA,NA
"80",24,"2002Q4","Neuchâtel",2002-12-01,"CM 31-33 ..... Autres industries manufacturières; réparation et installation",656.9,NA,NA
"81",24,"2002Q4","Neuchâtel",2002-12-01,"D 35 > Production et distribution d'énergie",4.7,NA,NA
"82",24,"2002Q4","Neuchâtel",2002-12-01,"E 36-39 > Production et distribution d'eau, gestion des déchets",0,NA,NA
"83",24,"2002Q4","Neuchâtel",2002-12-01,"F 41-43 > Construction",220.7,NA,NA
"84",24,"2002Q4","Neuchâtel",2002-12-01,"FA 41-42 ..... Construction de bâtiments et génie civil",78.4,NA,NA
"85",24,"2002Q4","Neuchâtel",2002-12-01,"FB 43 ..... Travaux de construction spécialisés",142.4,NA,NA
"86",24,"2002Q4","Neuchâtel",2002-12-01,"G 45 ..... Commerce et réparation d'automobiles et de motocycles",87.5,NA,NA
"87",24,"2002Q4","Neuchâtel",2002-12-01,"G 45-47 > Commerce; réparation d'automobiles et de motocycles",560.2,NA,NA
"88",24,"2002Q4","Neuchâtel",2002-12-01,"G 46 ..... Commerce de gros",196.1,NA,NA
"89",24,"2002Q4","Neuchâtel",2002-12-01,"G 47 ..... Commerce de détail",276.6,NA,NA
"90",24,"2002Q4","Neuchâtel",2002-12-01,"G-U 45-99 - Secteur tertiaire",1595.5,NA,NA
"91",24,"2002Q4","Neuchâtel",2002-12-01,"H 49-53 > Transports et entreposage",91.1,NA,NA
"92",24,"2002Q4","Neuchâtel",2002-12-01,"HA 49 ..... Transports terrestres et transport par conduites",57.1,NA,NA
"93",24,"2002Q4","Neuchâtel",2002-12-01,"HB 50-51 ..... Transports par eau, transports aériens",3.9,NA,NA
"94",24,"2002Q4","Neuchâtel",2002-12-01,"HC 52 ..... Entreposage et services auxiliaires des transports",28.2,NA,NA
"95",24,"2002Q4","Neuchâtel",2002-12-01,"HD 53 ..... Activités de poste et de courrier",1.9,NA,NA
"96",24,"2002Q4","Neuchâtel",2002-12-01,"I 55 ..... Hébergement",78.1,NA,NA
"97",24,"2002Q4","Neuchâtel",2002-12-01,"I 55-56 > Hébergement et restauration",260.8,NA,NA
"98",24,"2002Q4","Neuchâtel",2002-12-01,"I 56 ..... Restauration",182.6,NA,NA
"99",24,"2002Q4","Neuchâtel",2002-12-01,"J 58-63 > Information et communication",14.3,NA,NA
"100",24,"2002Q4","Neuchâtel",2002-12-01,"JA 58-60 ..... Édition, audiovisuel et diffusion",1.9,NA,NA
"101",24,"2002Q4","Neuchâtel",2002-12-01,"JB 61 ..... Télécommunications",1.9,NA,NA
"102",24,"2002Q4","Neuchâtel",2002-12-01,"JC 62-63 ..... Activités informatiques et services d’information",10.5,NA,NA
"103",24,"2002Q4","Neuchâtel",2002-12-01,"K 64 ..... Activités des services financiers",0,NA,NA
"104",24,"2002Q4","Neuchâtel",2002-12-01,"K 64-66 > Activités financières et d'assurance",10.6,NA,NA
"105",24,"2002Q4","Neuchâtel",2002-12-01,"K 65 ..... Assurance",8.7,NA,NA
"106",24,"2002Q4","Neuchâtel",2002-12-01,"K 66 ..... Activités auxiliaires de services financiers et d'assurance",1.9,NA,NA
"107",24,"2002Q4","Neuchâtel",2002-12-01,"L 68 > Activités immobilières",8.6,NA,NA
"108",24,"2002Q4","Neuchâtel",2002-12-01,"M 69-75 > Activités spécialisées, scientifiques et techniques",51.5,NA,NA
"109",24,"2002Q4","Neuchâtel",2002-12-01,"MA 69 ..... Activités juridiques et comptables",11.4,NA,NA
"110",24,"2002Q4","Neuchâtel",2002-12-01,"MB 70 ..... Activités des sièges sociaux; conseil de gestion",13.4,NA,NA
"111",24,"2002Q4","Neuchâtel",2002-12-01,"MC 71 ..... Activités d'architecture et d'ingénierie",15.3,NA,NA
"112",24,"2002Q4","Neuchâtel",2002-12-01,"MD 72 ..... Recherche-développement scientifique",2,NA,NA
"113",24,"2002Q4","Neuchâtel",2002-12-01,"ME 73-75 ..... Autres activités spécialisées, scientifiques, techniques",9.5,NA,NA
"114",24,"2002Q4","Neuchâtel",2002-12-01,"N 77-82 > Activités de services administratifs et de soutien",106.4,NA,NA
"115",24,"2002Q4","Neuchâtel",2002-12-01,"NA 77; 79-82 ..... Autres activités de services administratifs et de soutien",37.4,NA,NA
"116",24,"2002Q4","Neuchâtel",2002-12-01,"NB 78 ..... Activités liées à l'emploi",69,NA,NA
"117",24,"2002Q4","Neuchâtel",2002-12-01,"O 84 > Administration publique",4.9,NA,NA
"118",24,"2002Q4","Neuchâtel",2002-12-01,"P 85 > Enseignement",21.2,NA,NA
"119",24,"2002Q4","Neuchâtel",2002-12-01,"Q 86 ..... Activités pour la santé humaine",239.4,NA,NA
"120",24,"2002Q4","Neuchâtel",2002-12-01,"Q 86-88 > Santé humaine et action sociale",392.3,NA,NA
"121",24,"2002Q4","Neuchâtel",2002-12-01,"Q 87 ..... Hébergement médico-social et social",111.1,NA,NA
"122",24,"2002Q4","Neuchâtel",2002-12-01,"Q 88 ..... Action sociale sans hébergement",41.8,NA,NA
"123",24,"2002Q4","Neuchâtel",2002-12-01,"R 90-93 > Arts, spectacles et activités récréatives",9.5,NA,NA
"124",24,"2002Q4","Neuchâtel",2002-12-01,"S 94-96 > Autres activités de services",64,NA,NA
"125",24,"2002Q4","Neuchâtel",2002-12-01,"T 97-98 > Activités des ménages en tant qu'employeurs et producteurs",0,NA,NA
"126",24,"2002Q4","Neuchâtel",2002-12-01,"U 99 > Activités extra-territoriales",0,NA,NA
"127",24,"2003Q1","Neuchâtel",2003-03-01,"A 01-03 - Secteur primaire",61.1,NA,NA
"128",24,"2003Q1","Neuchâtel",2003-03-01,"A-U 01-99 Total",4955.3,NA,NA
"129",24,"2003Q1","Neuchâtel",2003-03-01,"B 05-09 > Industries extractives",2.9,NA,NA
"130",24,"2003Q1","Neuchâtel",2003-03-01,"B-F 05-43 - Secteur secondaire",3231,NA,NA
"131",24,"2003Q1","Neuchâtel",2003-03-01,"C 10-33 > Industrie manufacturière",3019.8,NA,NA
"132",24,"2003Q1","Neuchâtel",2003-03-01,"CA 10-12 ..... Industries alimentaires et du tabac",44.8,NA,NA
"133",24,"2003Q1","Neuchâtel",2003-03-01,"CB 13-15 ..... Industries du textile et de l’habillement",44.1,NA,NA
"134",24,"2003Q1","Neuchâtel",2003-03-01,"CC 16-18 ..... Industries du bois et du papier ; imprimerie",56.2,NA,NA
"135",24,"2003Q1","Neuchâtel",2003-03-01,"CD,CE 19-20 ..... Cokéfaction, raffinage et industrie chimique",22.6,NA,NA
"136",24,"2003Q1","Neuchâtel",2003-03-01,"CF 21 ..... Industrie pharmaceutique",13.8,NA,NA
"137",24,"2003Q1","Neuchâtel",2003-03-01,"CG 22-23 ..... Industries du caoutchouc et du plastique",32.9,NA,NA
"138",24,"2003Q1","Neuchâtel",2003-03-01,"CH 24-25 ..... Fabrication de produits métalliques",337.6,NA,NA
"139",24,"2003Q1","Neuchâtel",2003-03-01,"CI 26 ..... Fabrication de produits informatiques et électroniques; horlogerie",1378.7,NA,NA
"140",24,"2003Q1","Neuchâtel",2003-03-01,"CJ 27 ..... Fabrication d'équipements électriques",111.6,NA,NA
"141",24,"2003Q1","Neuchâtel",2003-03-01,"CK 28 ..... Fabrication de machines et équipements n.c.a.",287.6,NA,NA
"142",24,"2003Q1","Neuchâtel",2003-03-01,"CL 29-30 ..... Fabrication de matériels de transport",16.5,NA,NA
"143",24,"2003Q1","Neuchâtel",2003-03-01,"CM 31-33 ..... Autres industries manufacturières; réparation et installation",673.5,NA,NA
"144",24,"2003Q1","Neuchâtel",2003-03-01,"D 35 > Production et distribution d'énergie",4.7,NA,NA
"145",24,"2003Q1","Neuchâtel",2003-03-01,"E 36-39 > Production et distribution d'eau, gestion des déchets",0,NA,NA
"146",24,"2003Q1","Neuchâtel",2003-03-01,"F 41-43 > Construction",203.6,NA,NA
"147",24,"2003Q1","Neuchâtel",2003-03-01,"FA 41-42 ..... Construction de bâtiments et génie civil",68.7,NA,NA
"148",24,"2003Q1","Neuchâtel",2003-03-01,"FB 43 ..... Travaux de construction spécialisés",135,NA,NA
"149",24,"2003Q1","Neuchâtel",2003-03-01,"G 45 ..... Commerce et réparation d'automobiles et de motocycles",91.4,NA,NA
"150",24,"2003Q1","Neuchâtel",2003-03-01,"G 45-47 > Commerce; réparation d'automobiles et de motocycles",611.1,NA,NA
"151",24,"2003Q1","Neuchâtel",2003-03-01,"G 46 ..... Commerce de gros",198.9,NA,NA
"152",24,"2003Q1","Neuchâtel",2003-03-01,"G 47 ..... Commerce de détail",320.8,NA,NA
"153",24,"2003Q1","Neuchâtel",2003-03-01,"G-U 45-99 - Secteur tertiaire",1663.2,NA,NA
"154",24,"2003Q1","Neuchâtel",2003-03-01,"H 49-53 > Transports et entreposage",85.2,NA,NA
"155",24,"2003Q1","Neuchâtel",2003-03-01,"HA 49 ..... Transports terrestres et transport par conduites",53.2,NA,NA
"156",24,"2003Q1","Neuchâtel",2003-03-01,"HB 50-51 ..... Transports par eau, transports aériens",1,NA,NA
"157",24,"2003Q1","Neuchâtel",2003-03-01,"HC 52 ..... Entreposage et services auxiliaires des transports",29.1,NA,NA
"158",24,"2003Q1","Neuchâtel",2003-03-01,"HD 53 ..... Activités de poste et de courrier",1.9,NA,NA
"159",24,"2003Q1","Neuchâtel",2003-03-01,"I 55 ..... Hébergement",86.4,NA,NA
"160",24,"2003Q1","Neuchâtel",2003-03-01,"I 55-56 > Hébergement et restauration",252.4,NA,NA
"161",24,"2003Q1","Neuchâtel",2003-03-01,"I 56 ..... Restauration",166,NA,NA
"162",24,"2003Q1","Neuchâtel",2003-03-01,"J 58-63 > Information et communication",15.2,NA,NA
"163",24,"2003Q1","Neuchâtel",2003-03-01,"JA 58-60 ..... Édition, audiovisuel et diffusion",3.8,NA,NA
"164",24,"2003Q1","Neuchâtel",2003-03-01,"JB 61 ..... Télécommunications",1,NA,NA
"165",24,"2003Q1","Neuchâtel",2003-03-01,"JC 62-63 ..... Activités informatiques et services d’information",10.4,NA,NA
"166",24,"2003Q1","Neuchâtel",2003-03-01,"K 64 ..... Activités des services financiers",0,NA,NA
"167",24,"2003Q1","Neuchâtel",2003-03-01,"K 64-66 > Activités financières et d'assurance",10.6,NA,NA
"168",24,"2003Q1","Neuchâtel",2003-03-01,"K 65 ..... Assurance",10.6,NA,NA
"169",24,"2003Q1","Neuchâtel",2003-03-01,"K 66 ..... Activités auxiliaires de services financiers et d'assurance",0,NA,NA
"170",24,"2003Q1","Neuchâtel",2003-03-01,"L 68 > Activités immobilières",10.5,NA,NA
"171",24,"2003Q1","Neuchâtel",2003-03-01,"M 69-75 > Activités spécialisées, scientifiques et techniques",58.3,NA,NA
"172",24,"2003Q1","Neuchâtel",2003-03-01,"MA 69 ..... Activités juridiques et comptables",7.6,NA,NA
"173",24,"2003Q1","Neuchâtel",2003-03-01,"MB 70 ..... Activités des sièges sociaux; conseil de gestion",14.2,NA,NA
"174",24,"2003Q1","Neuchâtel",2003-03-01,"MC 71 ..... Activités d'architecture et d'ingénierie",26.8,NA,NA
"175",24,"2003Q1","Neuchâtel",2003-03-01,"MD 72 ..... Recherche-développement scientifique",2,NA,NA
"176",24,"2003Q1","Neuchâtel",2003-03-01,"ME 73-75 ..... Autres activités spécialisées, scientifiques, techniques",7.7,NA,NA
"177",24,"2003Q1","Neuchâtel",2003-03-01,"N 77-82 > Activités de services administratifs et de soutien",106.7,NA,NA
"178",24,"2003Q1","Neuchâtel",2003-03-01,"NA 77; 79-82 ..... Autres activités de services administratifs et de soutien",32.5,NA,NA
"179",24,"2003Q1","Neuchâtel",2003-03-01,"NB 78 ..... Activités liées à l'emploi",74.2,NA,NA
"180",24,"2003Q1","Neuchâtel",2003-03-01,"O 84 > Administration publique",4.9,NA,NA
"181",24,"2003Q1","Neuchâtel",2003-03-01,"P 85 > Enseignement",22.2,NA,NA
"182",24,"2003Q1","Neuchâtel",2003-03-01,"Q 86 ..... Activités pour la santé humaine",239.2,NA,NA
"183",24,"2003Q1","Neuchâtel",2003-03-01,"Q 86-88 > Santé humaine et action sociale",406.8,NA,NA
"184",24,"2003Q1","Neuchâtel",2003-03-01,"Q 87 ..... Hébergement médico-social et social",119.8,NA,NA
"185",24,"2003Q1","Neuchâtel",2003-03-01,"Q 88 ..... Action sociale sans hébergement",47.8,NA,NA
"186",24,"2003Q1","Neuchâtel",2003-03-01,"R 90-93 > Arts, spectacles et activités récréatives",8.4,NA,NA
"187",24,"2003Q1","Neuchâtel",2003-03-01,"S 94-96 > Autres activités de services",70,NA,NA
"188",24,"2003Q1","Neuchâtel",2003-03-01,"T 97-98 > Activités des ménages en tant qu'employeurs et producteurs",0.9,NA,NA
"189",24,"2003Q1","Neuchâtel",2003-03-01,"U 99 > Activités extra-territoriales",0,NA,NA
"190",24,"2003Q2","Neuchâtel",2003-06-01,"A 01-03 - Secteur primaire",56.4,NA,NA
"191",24,"2003Q2","Neuchâtel",2003-06-01,"A-U 01-99 Total",5029.4,NA,NA
"192",24,"2003Q2","Neuchâtel",2003-06-01,"B 05-09 > Industries extractives",1,NA,NA
"193",24,"2003Q2","Neuchâtel",2003-06-01,"B-F 05-43 - Secteur secondaire",3268.3,NA,NA
"194",24,"2003Q2","Neuchâtel",2003-06-01,"C 10-33 > Industrie manufacturière",3051.3,NA,NA
"195",24,"2003Q2","Neuchâtel",2003-06-01,"CA 10-12 ..... Industries alimentaires et du tabac",43.9,NA,NA
"196",24,"2003Q2","Neuchâtel",2003-06-01,"CB 13-15 ..... Industries du textile et de l’habillement",45.1,NA,NA
"197",24,"2003Q2","Neuchâtel",2003-06-01,"CC 16-18 ..... Industries du bois et du papier ; imprimerie",61,NA,NA
"198",24,"2003Q2","Neuchâtel",2003-06-01,"CD,CE 19-20 ..... Cokéfaction, raffinage et industrie chimique",18.6,NA,NA
"199",24,"2003Q2","Neuchâtel",2003-06-01,"CF 21 ..... Industrie pharmaceutique",22.6,NA,NA
"200",24,"2003Q2","Neuchâtel",2003-06-01,"CG 22-23 ..... Industries du caoutchouc et du plastique",41.7,NA,NA
"201",24,"2003Q2","Neuchâtel",2003-06-01,"CH 24-25 ..... Fabrication de produits métalliques",322.9,NA,NA
"202",24,"2003Q2","Neuchâtel",2003-06-01,"CI 26 ..... Fabrication de produits informatiques et électroniques; horlogerie",1376.7,NA,NA
"203",24,"2003Q2","Neuchâtel",2003-06-01,"CJ 27 ..... Fabrication d'équipements électriques",128.3,NA,NA
"204",24,"2003Q2","Neuchâtel",2003-06-01,"CK 28 ..... Fabrication de machines et équipements n.c.a.",298.5,NA,NA
"205",24,"2003Q2","Neuchâtel",2003-06-01,"CL 29-30 ..... Fabrication de matériels de transport",18.4,NA,NA
"206",24,"2003Q2","Neuchâtel",2003-06-01,"CM 31-33 ..... Autres industries manufacturières; réparation et installation",673.6,NA,NA
"207",24,"2003Q2","Neuchâtel",2003-06-01,"D 35 > Production et distribution d'énergie",4.7,NA,NA
"208",24,"2003Q2","Neuchâtel",2003-06-01,"E 36-39 > Production et distribution d'eau, gestion des déchets",0,NA,NA
"209",24,"2003Q2","Neuchâtel",2003-06-01,"F 41-43 > Construction",211.4,NA,NA
"210",24,"2003Q2","Neuchâtel",2003-06-01,"FA 41-42 ..... Construction de bâtiments et génie civil",71.8,NA,NA
"211",24,"2003Q2","Neuchâtel",2003-06-01,"FB 43 ..... Travaux de construction spécialisés",139.7,NA,NA
"212",24,"2003Q2","Neuchâtel",2003-06-01,"G 45 ..... Commerce et réparation d'automobiles et de motocycles",91.5,NA,NA
"213",24,"2003Q2","Neuchâtel",2003-06-01,"G 45-47 > Commerce; réparation d'automobiles et de motocycles",620,NA,NA
"214",24,"2003Q2","Neuchâtel",2003-06-01,"G 46 ..... Commerce de gros",202.7,NA,NA
"215",24,"2003Q2","Neuchâtel",2003-06-01,"G 47 ..... Commerce de détail",325.7,NA,NA
"216",24,"2003Q2","Neuchâtel",2003-06-01,"G-U 45-99 - Secteur tertiaire",1704.6,NA,NA
"217",24,"2003Q2","Neuchâtel",2003-06-01,"H 49-53 > Transports et entreposage",81.4,NA,NA
"218",24,"2003Q2","Neuchâtel",2003-06-01,"HA 49 ..... Transports terrestres et transport par conduites",54.2,NA,NA
"219",24,"2003Q2","Neuchâtel",2003-06-01,"HB 50-51 ..... Transports par eau, transports aériens",1,NA,NA
"220",24,"2003Q2","Neuchâtel",2003-06-01,"HC 52 ..... Entreposage et services auxiliaires des transports",26.3,NA,NA
"221",24,"2003Q2","Neuchâtel",2003-06-01,"HD 53 ..... Activités de poste et de courrier",0,NA,NA
"222",24,"2003Q2","Neuchâtel",2003-06-01,"I 55 ..... Hébergement",74.3,NA,NA
"223",24,"2003Q2","Neuchâtel",2003-06-01,"I 55-56 > Hébergement et restauration",269.1,NA,NA
"224",24,"2003Q2","Neuchâtel",2003-06-01,"I 56 ..... Restauration",194.8,NA,NA
"225",24,"2003Q2","Neuchâtel",2003-06-01,"J 58-63 > Information et communication",21.7,NA,NA
"226",24,"2003Q2","Neuchâtel",2003-06-01,"JA 58-60 ..... Édition, audiovisuel et diffusion",4.6,NA,NA
"227",24,"2003Q2","Neuchâtel",2003-06-01,"JB 61 ..... Télécommunications",2.8,NA,NA
"228",24,"2003Q2","Neuchâtel",2003-06-01,"JC 62-63 ..... Activités informatiques et services d’information",14.3,NA,NA
"229",24,"2003Q2","Neuchâtel",2003-06-01,"K 64 ..... Activités des services financiers",0,NA,NA
"230",24,"2003Q2","Neuchâtel",2003-06-01,"K 64-66 > Activités financières et d'assurance",8.7,NA,NA
"231",24,"2003Q2","Neuchâtel",2003-06-01,"K 65 ..... Assurance",8.7,NA,NA
"232",24,"2003Q2","Neuchâtel",2003-06-01,"K 66 ..... Activités auxiliaires de services financiers et d'assurance",0,NA,NA
"233",24,"2003Q2","Neuchâtel",2003-06-01,"L 68 > Activités immobilières",8.6,NA,NA
"234",24,"2003Q2","Neuchâtel",2003-06-01,"M 69-75 > Activités spécialisées, scientifiques et techniques",61.1,NA,NA
"235",24,"2003Q2","Neuchâtel",2003-06-01,"MA 69 ..... Activités juridiques et comptables",9.5,NA,NA
"236",24,"2003Q2","Neuchâtel",2003-06-01,"MB 70 ..... Activités des sièges sociaux; conseil de gestion",12.4,NA,NA
"237",24,"2003Q2","Neuchâtel",2003-06-01,"MC 71 ..... Activités d'architecture et d'ingénierie",22.9,NA,NA
